
2025/02/08 (14:15:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (14:15:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/08 (14:15:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (14:15:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/08 (14:15:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/08 (14:15:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/08 (14:18:49) | WARNING: Failed to join _runner thread on exit!

2025/02/08 (15:14:34) | ===> btop++ v.1.4.0
2025/02/08 (15:14:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (15:14:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/08 (15:14:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (15:14:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/08 (15:14:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/08 (15:14:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/08 (15:19:48) | ===> btop++ v.1.4.0
2025/02/08 (15:19:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (15:19:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/08 (15:19:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (15:19:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/08 (15:19:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/08 (15:19:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/08 (17:31:11) | ===> btop++ v.1.4.0
2025/02/08 (17:31:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/08 (17:31:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/08 (17:31:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (17:31:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/08 (17:31:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/08 (17:31:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/10 (00:47:31) | ===> btop++ v.1.4.0
2025/02/10 (00:47:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/10 (00:47:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/10 (00:47:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/10 (00:47:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/10 (00:47:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/10 (00:47:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (13:33:21) | ===> btop++ v.1.4.0
2025/02/13 (13:33:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (13:33:21) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (13:33:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (13:33:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (13:33:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (13:33:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (13:44:39) | ===> btop++ v.1.4.0
2025/02/13 (13:44:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (13:44:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (13:44:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (13:44:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (13:44:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (13:44:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (13:44:51) | ===> btop++ v.1.4.0
2025/02/13 (13:44:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (13:44:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (13:44:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (13:44:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (13:44:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (13:44:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/13 (15:30:11) | ===> btop++ v.1.4.0
2025/02/13 (15:30:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (15:30:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/13 (15:30:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/13 (15:30:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/13 (15:30:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/13 (15:30:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (22:06:55) | ===> btop++ v.1.4.0
2025/02/14 (22:06:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/14 (22:06:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (22:06:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (22:06:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (22:06:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (22:06:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/17 (21:32:31) | ===> btop++ v.1.4.0
